Species	F_Handle_in_Clean_1	F_Handle_out_Clean_1	F_Handle_Lo_in_Clean_1	F_Handle_Lo_out_Clean_1	F_Tap_Clean_1	H_Handle_in_Clean_1	H_Handle_out_Clean_1	H_Handle_Lo_in_Clean_1	H_Handle_Lo_out_Clean_1	H_Tap_Clean_1	Control_Water_Clean_1	F_Flush_Clean_1	H_Flush_Clean_1	H_Pee_button_Clean_1	F_Seat_Clean_1	H_Seat_Clean_1	F_Handle_in_Dirty_1	F_Handle_out_Dirty_1	F_Handle_Lo_in_Dirty_1	F_Handle_Lo_out_Dirty_1	F_Tap_Dirty_1	H_Handle_in_Dirty_1	H_Handle_out_Dirty_1	H_Handle_Lo_in_Dirty_1	H_Handle_Lo_out_Dirty_1	H_Tap_Dirty_1	Control_Water_Dirty_1	F_Flush_Dirty_1	H_Flush_Dirty_1	H_Pee_button_Dirty_1	F_Seat_Dirty_1	H_Seat_Dirty_1	F_Tap_Clean_2	H_Handle_in_Clean_2	H_Handle_out_Clean_2	H_Tap_Clean_2	F_Flush_Clean_2	H_Pee_button_Clean_2	F_Seat_Clean_2	H_Seat_Clean_2	F_Handle_in_Dirty_2	H_Handle_in_Dirty_2	H_Handle_out_Dirty_2	H_Handle_Lo_in_Dirty_2	H_Tap_Dirty_2	F_Flush_Dirty_2	H_Flush_Dirty_2	F_Seat_Dirty_2	H_Seat_Dirty_2	F_Handle_in_Clean_2	F_Handle_out_Clean_2	F_Handle_Lo_in_Clean_2	F_Handle_Lo_out_Clean	F_Tap_Clean_3	H_Handle_in_Clean_3	H_Handle_out_Clean_3	H_Handle_Lo_in_Clean_2	H_Handle_Lo_out_Clean_2	H_Tap_Clean_3	Control_Water_Clean_2	F_Flush_Clean_3	H_Flush_Clean_2	H_Pee_button_Clean_3	F_Seat_Clean_3	H_Seat_Clean_3	F_Handle_in_Dirty_3	F_Handle_out_Dirty_2	F_Handle_Lo_in_Dirty_2	F_Handle_Lo_out_Dirty_2	F_Tap_Dirty_2	H_Handle_in_Dirty_3	H_Handle_out_Dirty_3	H_Handle_Lo_in_Dirty_3	H_Handle_Lo_out_Dirty_2	H_Tap_Dirty_3	Control_Water_Dirty_2	F_Flush_Dirty_3	H_Flush_Dirty_3	H_Pee_button_Dirty_2	F_Seat_Dirty_3	H_Seat_Dirty_3	Categorys
AB506292.1.1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB506423.1.1525	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	50	17	3	2	1	0	0	0	0	0	0	4	0	53	0	0	25	0	0	8	0	0	4	3	0	1	0	ENVIRONNEMENT
AB506435.1.1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB507472.1.1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB507549.1.1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB507672.1.1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	ENVIRONNEMENT
AB529705.1.1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB559590.1.1517	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ANIMAL
AB607854.1.1453/AB607851.1.1445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	ENVIRONNEMENT
AB617574.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	HUMAN
AB627611.1.1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	0	0	0	0	0	2	0	0	1	0	8	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	ANIMAL
AB630636.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ENVIRONNEMENT
AB630649.1.1488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	ENVIRONNEMENT
